TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,16,7,9,0.438,22.8,20.0,43.3,0.463,7.9,20.0,0.396,8.6,11.1,0.773,5.5,16.1,21.6,12.8,8.0,4.5,2.8,2.8,9.9,9.2,56.5,2.2,2,16,18,18,20,14,13,14,23,19,30,11,11,14,16,11,11,15,14,19,19,14,15,22,15,21
1610612738,Boston Celtics,15,12,3,0.8,33.1,28.8,61.3,0.47,8.1,23.7,0.343,9.9,12.9,0.764,7.0,22.1,29.1,17.4,9.5,4.9,2.9,3.3,13.6,11.3,75.6,-6.8,10,2,2,2,4,28,27,18,24,26,7,22,22,10,25,27,27,28,3,25,20,4,27,11,26,3
1610612751,Brooklyn Nets,15,6,9,0.4,21.4,18.2,37.3,0.489,5.6,15.2,0.367,9.0,11.3,0.796,4.3,14.8,19.1,12.0,6.2,3.3,2.5,1.7,8.1,10.0,51.1,2.4,10,19,18,20,26,5,4,28,6,4,18,16,13,22,3,8,6,7,25,5,14,28,4,17,5,22
1610612766,Charlotte Hornets,14,5,9,0.357,19.5,16.9,34.8,0.484,5.4,14.8,0.365,7.6,9.9,0.77,3.6,13.2,16.8,11.0,5.2,3.3,2.2,2.0,8.0,8.9,46.7,2.9,22,25,18,25,28,3,3,25,3,3,16,7,8,13,2,3,3,4,30,3,8,24,3,23,3,24
1610612741,Chicago Bulls,16,6,10,0.375,25.9,25.2,51.5,0.489,7.2,20.9,0.345,9.1,11.8,0.768,5.5,19.6,25.1,16.2,6.4,4.6,2.9,2.3,9.4,9.5,66.7,3.4,2,19,25,24,13,25,24,29,19,21,8,17,17,12,17,25,22,24,22,24,22,21,11,19,25,25
1610612739,Cleveland Cavaliers,17,16,1,0.941,27.8,23.6,51.1,0.461,8.3,21.4,0.386,9.1,11.4,0.799,5.9,17.8,23.7,14.8,9.1,4.1,2.6,3.0,10.5,10.3,64.5,-7.4,1,1,1,1,8,23,22,13,25,22,29,18,15,23,20,19,19,22,6,17,16,8,18,15,23,2
1610612742,Dallas Mavericks,15,8,7,0.533,28.2,23.0,51.3,0.448,7.3,21.5,0.341,10.8,14.7,0.738,7.2,18.9,26.1,15.2,8.4,4.4,2.4,2.9,10.9,12.4,64.1,-3.9,10,11,11,13,6,21,23,7,21,23,5,24,26,2,28,23,25,23,12,18,13,9,21,5,20,7
1610612743,Denver Nuggets,13,8,5,0.615,27.1,24.1,52.4,0.46,7.3,21.6,0.34,8.7,11.4,0.761,6.9,18.3,25.2,16.3,8.4,4.5,3.8,2.8,11.9,10.8,64.2,0.0,28,11,6,7,10,24,25,11,22,24,3,12,14,8,24,21,23,25,11,21,28,12,25,13,22,14
1610612765,Detroit Pistons,16,7,9,0.438,25.9,21.5,47.7,0.451,7.3,19.5,0.373,9.0,11.6,0.774,5.4,17.3,22.7,13.2,6.9,5.1,2.6,3.1,9.3,10.8,59.3,0.5,2,16,18,18,12,17,18,8,20,17,23,15,16,16,14,15,15,18,18,26,15,6,10,12,16,17
1610612744,Golden State Warriors,14,11,3,0.786,24.4,19.5,45.8,0.425,5.7,19.1,0.301,9.7,12.8,0.76,6.4,17.2,23.6,12.4,8.5,3.6,2.8,2.8,9.5,11.3,54.5,-5.1,22,4,2,3,16,8,16,2,7,16,1,20,21,7,22,14,18,13,10,8,17,10,12,10,13,5
1610612745,Houston Rockets,16,11,5,0.688,27.8,21.9,50.5,0.432,6.6,19.5,0.338,10.5,13.9,0.756,6.1,19.5,25.6,12.4,9.1,4.0,3.8,3.1,11.5,12.0,60.8,-5.0,2,4,6,6,7,18,21,3,13,17,2,23,24,6,21,24,24,12,7,14,27,7,24,6,19,6
1610612754,Indiana Pacers,15,6,9,0.4,26.6,23.3,49.6,0.47,7.1,20.4,0.348,11.2,14.2,0.788,6.8,17.9,24.7,13.1,7.6,3.9,2.4,2.6,10.5,11.7,64.9,2.1,10,19,18,20,11,22,19,17,18,20,11,26,25,18,23,20,21,17,15,13,9,16,19,8,24,20
1610612746,LA Clippers,15,8,7,0.533,34.6,28.1,61.8,0.454,9.5,27.3,0.348,11.6,15.3,0.762,7.0,23.4,30.5,17.1,10.5,7.3,3.7,3.5,14.4,13.7,77.3,-0.9,10,11,11,13,3,27,28,9,28,28,10,27,27,9,26,29,29,26,2,30,26,2,29,3,27,12
1610612747,Los Angeles Lakers,14,10,4,0.714,21.8,19.7,40.7,0.484,5.9,16.4,0.359,7.6,9.3,0.811,4.9,14.7,19.6,12.9,6.3,3.1,2.0,2.0,10.0,7.3,52.9,0.0,22,6,4,5,23,10,9,26,9,7,15,6,5,27,7,7,7,16,24,2,5,25,16,28,9,15
1610612763,Memphis Grizzlies,16,9,7,0.563,17.5,14.8,33.6,0.441,5.2,14.7,0.355,7.0,9.4,0.742,4.6,11.9,16.5,9.2,5.9,3.5,1.8,2.8,8.3,8.1,41.8,-1.5,2,7,11,11,29,2,2,5,2,2,14,5,6,3,5,2,2,2,28,7,1,11,6,25,2,11
